timestamp,open_interest,source
1744470000,52816.04200000,bybit
1744473600,52669.59200000,bybit
1744477200,52672.04400000,bybit
1744480800,52410.72700000,bybit
1744484400,52568.58300000,bybit
1744488000,53190.09100000,bybit
1744491600,53141.43200000,bybit
1744495200,53041.35900000,bybit
1744498800,52926.41100000,bybit
1744502400,52817.23900000,bybit
1744506000,52764.27300000,bybit
1744509600,53111.32300000,bybit
1744513200,52985.49400000,bybit
1744516800,53095.25200000,bybit
1744520400,52936.10100000,bybit
1744524000,52751.70900000,bybit
1744527600,52611.66300000,bybit
1744531200,52661.24900000,bybit
1744534800,52992.96100000,bybit
1744538400,52891.74800000,bybit
1744542000,52884.52200000,bybit
1744545600,52687.01000000,bybit
1744549200,52736.69400000,bybit
1744552800,51665.74700000,bybit
1744556400,51418.21000000,bybit
1744560000,51781.68900000,bybit
1744563600,51707.54800000,bybit
1744567200,51182.67500000,bybit
1744570800,51170.66500000,bybit
1744574400,49623.80100000,bybit
1744578000,49632.01900000,bybit
1744581600,49902.91400000,bybit
1744585200,49233.08700000,bybit
1744588800,49029.17300000,bybit
1744592400,48180.40400000,bybit
1744596000,48491.53300000,bybit
1744599600,48867.01000000,bybit
1744603200,48767.18900000,bybit
1744606800,49201.40200000,bybit
1744610400,49281.32400000,bybit
1744614000,49450.33600000,bybit
1744617600,49586.79700000,bybit
1744621200,49528.89000000,bybit
1744624800,49803.41100000,bybit
1744628400,49966.55400000,bybit
1744632000,49983.19200000,bybit
1744635600,50336.01500000,bybit
1744639200,50631.94300000,bybit
1744642800,50516.25000000,bybit
1744646400,49107.20500000,bybit
1744650000,49182.47900000,bybit
1744653600,49343.37400000,bybit
1744657200,49324.95100000,bybit
1744660800,49930.59900000,bybit
1744664400,50186.29400000,bybit
1744668000,49964.29500000,bybit
1744671600,49879.06700000,bybit
1744675200,49686.02600000,bybit
1744678800,49784.14200000,bybit
1744682400,49634.18000000,bybit
1744686000,50158.45200000,bybit
1744689600,50362.67200000,bybit
1744693200,50753.48000000,bybit
1744696800,51397.03200000,bybit
1744700400,51708.68600000,bybit
1744704000,52211.47500000,bybit
1744707600,52977.78300000,bybit
1744711200,53179.34500000,bybit
1744714800,53085.98500000,bybit
1744718400,53061.85900000,bybit
1744722000,53148.73500000,bybit
1744725600,53114.53900000,bybit
1744729200,52027.03900000,bybit
1744732800,52383.79500000,bybit
1744736400,53154.99800000,bybit
1744740000,52277.16000000,bybit
1744743600,51486.93500000,bybit
1744747200,50567.20100000,bybit
1744750800,50230.92200000,bybit
1744754400,49978.13200000,bybit
1744758000,49964.22300000,bybit
1744761600,49772.57300000,bybit
1744765200,49351.36000000,bybit
1744768800,49360.35500000,bybit
1744772400,49950.50000000,bybit
1744776000,50243.56400000,bybit
1744779600,50365.20000000,bybit
1744783200,50452.24700000,bybit
1744786800,50719.15900000,bybit
1744790400,50980.33300000,bybit
1744794000,50528.45000000,bybit
1744797600,50579.31900000,bybit
1744801200,50746.25800000,bybit
1744804800,50639.94900000,bybit
1744808400,50120.07500000,bybit
1744812000,50751.43300000,bybit
1744815600,50822.77500000,bybit
1744819200,50828.05900000,bybit
1744822800,51024.73600000,bybit
1744826400,50588.03500000,bybit
1744830000,49474.02000000,bybit
1744833600,49186.71600000,bybit
1744837200,49255.79900000,bybit
1744840800,49101.21200000,bybit
1744844400,49129.50400000,bybit
1744848000,49082.89100000,bybit
1744851600,48713.14500000,bybit
1744855200,48800.47600000,bybit
1744858800,48514.46100000,bybit
1744862400,48659.62500000,bybit
1744866000,48777.41500000,bybit
1744869600,49045.72600000,bybit
1744873200,49077.82600000,bybit
1744876800,49279.65100000,bybit
1744880400,49465.52700000,bybit
1744884000,48919.19700000,bybit
1744887600,49154.43100000,bybit
1744891200,49115.57100000,bybit
1744894800,49422.63800000,bybit
1744898400,50041.18500000,bybit
1744902000,49352.88700000,bybit
1744905600,49319.23500000,bybit
1744909200,49671.18500000,bybit
1744912800,50332.01600000,bybit
1744916400,50659.12000000,bybit
1744920000,50268.71800000,bybit
1744923600,50728.37800000,bybit
1744927200,50428.50900000,bybit
1744930800,49895.09300000,bybit
1744934400,49669.65500000,bybit
1744938000,49745.38500000,bybit
1744941600,49789.27700000,bybit
1744945200,49768.09600000,bybit
1744948800,49597.28500000,bybit
1744952400,49484.38400000,bybit
1744956000,49638.04500000,bybit
1744959600,49699.26100000,bybit
1744963200,49670.77200000,bybit
1744966800,49499.08600000,bybit
1744970400,49575.53500000,bybit
1744974000,49578.06000000,bybit
1744977600,49689.63200000,bybit
1744981200,49542.73400000,bybit
1744984800,49943.03100000,bybit
1744988400,49781.96100000,bybit
1744992000,49790.30700000,bybit
1744995600,50167.82200000,bybit
1744999200,49973.16500000,bybit
1745002800,49935.88800000,bybit
1745006400,49916.11000000,bybit
1745010000,49895.82200000,bybit
1745013600,49729.31500000,bybit
1745017200,49835.87800000,bybit
1745020800,49838.79800000,bybit
1745024400,49954.45200000,bybit
1745028000,49903.60000000,bybit
1745031600,49617.68000000,bybit
1745035200,49800.91700000,bybit
1745038800,50024.07200000,bybit
1745042400,49880.28800000,bybit
1745046000,49718.91200000,bybit
1745049600,49455.10800000,bybit
1745053200,49420.73600000,bybit
1745056800,50283.10800000,bybit
1745060400,50459.35500000,bybit
1745064000,50566.84100000,bybit
1745067600,50660.70100000,bybit
1745071200,50888.29100000,bybit
1745074800,51437.45900000,bybit
1745078400,51393.34600000,bybit
1745082000,50973.94800000,bybit
1745085600,50698.45500000,bybit
1745089200,50812.19800000,bybit
1745092800,50393.21600000,bybit
1745096400,50323.22700000,bybit
1745100000,50142.24600000,bybit
1745103600,49954.41600000,bybit
1745107200,49973.61700000,bybit
1745110800,49953.10400000,bybit
1745114400,50154.80000000,bybit
1745118000,50139.26200000,bybit
1745121600,50083.27000000,bybit
1745125200,50131.13500000,bybit
1745128800,50109.84900000,bybit
1745132400,49986.02000000,bybit
1745136000,50151.46500000,bybit
1745139600,50423.18100000,bybit
1745143200,50631.63800000,bybit
1745146800,50839.59000000,bybit
1745150400,51345.79400000,bybit
1745154000,51379.45000000,bybit
1745157600,51577.55900000,bybit
1745161200,51574.74200000,bybit
1745164800,51515.42500000,bybit
1745168400,51527.44500000,bybit
1745172000,51745.63500000,bybit
1745175600,51752.16100000,bybit
1745179200,51887.86500000,bybit
